round,f1,auc
1,0.9988,0.9981
2,0.9986,0.9986
3,0.9987,0.9987
4,0.9988,0.9988
5,0.9989,0.9987
6,0.9991,0.9988
7,0.9992,0.9986
8,0.9993,0.9987
9,0.9993,0.9988
10,0.9993,0.999
11,0.9993,0.9992
12,0.9994,0.9992
13,0.9994,0.9992
14,0.9994,0.9992
15,0.9995,0.9994
16,0.9995,0.9992
17,0.9995,0.9992
18,0.9995,0.9992
19,0.9995,0.9992
20,0.9995,0.9992
21,0.9995,0.9992
22,0.9995,0.9992
23,0.9995,0.9992
24,0.9996,0.9992
25,0.9996,0.9992
26,0.9996,0.9992
27,0.9996,0.9992
28,0.9996,0.9992
29,0.9996,0.9992
30,0.9996,0.9992
