round,f1,auc
1,0.9989,0.9982
2,0.9989,0.9988
3,0.9992,0.9991
4,0.9993,0.9992
5,0.9994,0.9993
6,0.9994,0.9993
7,0.9994,0.9994
8,0.9994,0.9992
9,0.9995,0.9995
10,0.9995,0.9994
11,0.9995,0.9994
12,0.9996,0.9995
13,0.9996,0.9995
14,0.9996,0.9995
15,0.9996,0.9995
16,0.9996,0.9995
17,0.9996,0.9995
18,0.9996,0.9995
19,0.9997,0.9995
20,0.9997,0.9995
21,0.9997,0.9995
22,0.9997,0.9995
23,0.9997,0.9995
24,0.9997,0.9995
25,0.9997,0.9995
26,0.9997,0.9995
27,0.9997,0.9995
28,0.9997,0.9995
29,0.9997,0.9995
30,0.9997,0.9995
