round,f1,auc
1,0.9973,0.9968
2,0.9987,0.9984
3,0.9992,0.9986
4,0.999,0.9989
5,0.9992,0.9986
6,0.9994,0.9993
7,0.9992,0.9987
8,0.9984,0.9983
9,0.9991,0.9988
10,0.9994,0.9984
11,0.9994,0.9983
12,0.9995,0.9987
13,0.9995,0.9992
14,0.9989,0.9989
15,0.9992,0.9988
16,0.9991,0.9991
17,0.9996,0.9986
18,0.9994,0.9989
19,0.9995,0.9986
20,0.9995,0.9996
21,0.9988,0.9981
22,0.9992,0.9991
23,0.9986,0.9946
24,0.9996,0.9994
25,0.9991,0.9988
26,0.9996,0.999
27,0.9992,0.9984
28,0.9992,0.9974
29,0.9996,0.9995
30,0.9991,0.9974
