round,f1,auc
1,0.9986,0.9965
2,0.9989,0.9986
3,0.9994,0.9988
4,0.9995,0.9989
5,0.9995,0.9993
6,0.9992,0.9995
7,0.9991,0.9997
8,0.9989,0.9997
9,0.9992,0.9996
10,0.9992,0.9994
11,0.9987,0.9992
12,0.9988,0.9992
13,0.9992,0.9991
14,0.9991,0.9991
15,0.999,0.9991
16,0.9991,0.9991
17,0.999,0.9991
18,0.9989,0.9991
19,0.9989,0.9991
20,0.9989,0.9991
21,0.9989,0.9991
22,0.9988,0.9991
23,0.9989,0.9991
24,0.9991,0.9991
25,0.9989,0.9991
26,0.999,0.9991
27,0.9985,0.9988
28,0.9989,0.9989
29,0.9989,0.999
30,0.9991,0.9992
