round,f1,auc
1,0.9989,0.999
2,0.9991,0.9995
3,0.9992,0.9998
4,0.9994,0.9998
5,0.9995,0.9998
6,0.9996,0.9999
7,0.9996,0.9997
8,0.9996,0.9998
9,0.9996,0.9997
10,0.9996,0.9998
11,0.9997,0.9997
12,0.9997,0.9998
13,0.9997,0.9999
14,0.9997,0.9998
15,0.9997,0.9997
16,0.9997,0.9998
17,0.9997,1.0
18,0.9997,0.9997
19,0.9997,0.9998
20,0.9997,1.0
21,0.9997,0.9998
22,0.9997,0.9998
23,0.9997,0.9998
24,0.9997,1.0
25,0.9997,0.9997
26,0.9997,0.9998
27,0.9997,0.9997
28,0.9997,0.9998
29,0.9997,0.9997
30,0.9997,0.9998
