round,f1,auc
1,0.9609,0.999
2,0.9967,0.999
3,0.9988,0.9992
4,0.9987,0.9991
5,0.9988,0.9992
6,0.9987,0.9993
7,0.9985,0.9997
8,0.9988,0.9993
9,0.9989,0.9994
10,0.9989,0.9991
11,0.9989,0.9993
12,0.9987,0.9997
13,0.9989,0.9993
14,0.9989,0.9996
15,0.9987,0.9994
16,0.9989,0.9993
17,0.9986,0.9994
18,0.999,0.9994
19,0.9989,0.9994
20,0.9984,0.9996
21,0.999,0.9994
22,0.9987,0.9997
23,0.9988,0.9994
24,0.9989,0.9994
25,0.9988,0.9994
26,0.9989,0.9991
27,0.9987,0.9993
28,0.9986,0.9997
29,0.9986,0.9997
30,0.9988,0.9997
