round,f1,auc
1,0.9949,0.9974
2,0.9974,0.9981
3,0.9966,0.9983
4,0.9988,0.9975
5,0.9989,0.9964
6,0.9981,0.9969
7,0.998,0.9983
8,0.998,0.9983
9,0.998,0.9983
10,0.998,0.9983
11,0.9988,0.9944
12,0.9982,0.997
13,0.9981,0.997
14,0.9981,0.9967
15,0.9988,0.9943
16,0.9988,0.9947
17,0.9988,0.9946
18,0.9987,0.9949
19,0.9988,0.9943
20,0.9988,0.9945
21,0.9988,0.9944
22,0.9988,0.9943
23,0.9988,0.9943
24,0.9988,0.9943
25,0.9988,0.9943
26,0.9988,0.9943
27,0.9988,0.9943
28,0.9988,0.9943
29,0.9988,0.9943
30,0.9988,0.9944
