round,f1,auc
1,0.9954,0.9939
2,0.9989,0.9912
3,0.9983,0.9979
4,0.9988,0.9991
5,0.9986,0.9992
6,0.9984,0.9991
7,0.9992,0.9993
8,0.9986,0.9993
9,0.9994,0.9994
10,0.9995,0.9995
11,0.9991,0.9992
12,0.9987,0.9992
13,0.9996,0.9991
14,0.9991,0.9987
15,0.9992,0.999
16,0.9993,0.9986
17,0.9994,0.9991
18,0.9996,0.9997
19,0.9995,0.9996
20,0.9995,0.9996
21,0.9996,0.9995
22,0.9991,0.9992
23,0.9995,0.9991
24,0.9995,0.9989
25,0.9987,0.999
26,0.9996,0.9989
27,0.9996,0.9991
28,0.9995,0.9986
29,0.9993,0.999
30,0.9997,0.999
