round,f1,auc
1,0.9989,0.9979
2,0.9989,0.9984
3,0.9992,0.9988
4,0.9993,0.999
5,0.9994,0.9992
6,0.9995,0.9992
7,0.9995,0.9993
8,0.9995,0.9995
9,0.9996,0.9996
10,0.9996,0.9993
11,0.9996,0.9995
12,0.9996,0.9993
13,0.9996,0.9998
14,0.9996,0.9997
15,0.9996,0.9997
16,0.9996,0.9997
17,0.9996,0.9997
18,0.9996,0.9997
19,0.9996,0.9997
20,0.9996,0.9997
21,0.9996,0.9997
22,0.9996,0.9997
23,0.9996,0.9997
24,0.9996,0.9997
25,0.9997,0.9997
26,0.9997,0.9997
27,0.9997,0.9997
28,0.9997,0.9998
29,0.9996,0.9997
30,0.9996,0.9997
