round,f1,auc
1,0.9981,0.9985
2,0.9991,0.9988
3,0.9995,0.9992
4,0.9995,0.9995
5,0.9996,0.9996
6,0.9996,0.9995
7,0.9997,0.9996
8,0.9996,0.9993
9,0.9997,0.9994
10,0.9996,0.9992
11,0.9997,0.9995
12,0.9995,0.9992
13,0.9996,0.9997
14,0.9996,0.9994
15,0.9996,0.9994
16,0.9996,0.9992
17,0.9996,0.9995
18,0.9995,0.9993
19,0.9997,0.9994
20,0.9984,0.9991
21,0.9997,0.9994
22,0.9926,0.9989
23,0.9997,0.9994
24,0.9868,0.9985
25,0.9997,0.9996
26,0.9925,0.9989
27,0.9996,0.9995
28,0.9928,0.9988
29,0.9996,0.9995
30,0.9956,0.9989
