round,f1,auc
1,0.9989,0.9985
2,0.9991,0.9989
3,0.9993,0.9994
4,0.9994,0.9996
5,0.9994,0.9998
6,0.9994,0.9998
7,0.9995,0.9994
8,0.9995,0.9994
9,0.9995,0.9996
10,0.9995,0.9994
11,0.9995,0.9994
12,0.9995,0.9994
13,0.9995,0.9994
14,0.9995,0.9994
15,0.9995,0.9994
16,0.9996,0.9994
17,0.9996,0.9994
18,0.9996,0.9994
19,0.9996,0.9994
20,0.9996,0.9994
21,0.9996,0.9994
22,0.9996,0.9994
23,0.9996,0.9994
24,0.9996,0.9994
25,0.9996,0.9994
26,0.9996,0.9994
27,0.9996,0.9994
28,0.9996,0.9995
29,0.9996,0.9995
30,0.9996,0.9995
