round,f1,auc
1,0.9934,0.9992
2,0.9991,0.9994
3,0.9992,0.9997
4,0.9992,0.9997
5,0.9992,0.9998
6,0.9992,0.9998
7,0.9992,0.9998
8,0.9991,0.9998
9,0.9991,0.9998
10,0.9991,0.9998
11,0.9989,0.9998
12,0.9989,0.9998
13,0.999,0.9999
14,0.9989,0.9998
15,0.9989,0.9999
16,0.999,0.9999
17,0.999,0.9999
18,0.999,0.9999
19,0.9989,0.9998
20,0.9987,0.9998
21,0.9987,0.9999
22,0.9987,0.9999
23,0.9987,0.9999
24,0.9987,0.9999
25,0.9988,0.9999
26,0.9987,0.9999
27,0.9988,0.9999
28,0.9988,0.9999
29,0.9988,0.9999
30,0.9988,0.9999
