round,f1,auc
1,0.9988,0.999
2,0.9992,0.9996
3,0.9993,0.9997
4,0.9995,0.9997
5,0.9995,0.9998
6,0.9995,0.9998
7,0.9996,0.9998
8,0.9996,0.9997
9,0.9996,0.9997
10,0.9996,0.9996
11,0.9996,0.9998
12,0.9996,0.9997
13,0.9996,0.9996
14,0.9996,0.9996
15,0.9997,0.9998
16,0.9996,0.9996
17,0.9997,0.9998
18,0.9997,0.9998
19,0.9997,0.9997
20,0.9997,0.9997
21,0.9997,0.9996
22,0.9996,0.9998
23,0.9997,0.9997
24,0.9997,0.9997
25,0.9997,0.9997
26,0.9997,0.9996
27,0.9997,0.9996
28,0.9996,0.9996
29,0.9997,0.9998
30,0.9997,0.9997
