round,f1,auc
1,0.9989,0.9978
2,0.9984,0.9986
3,0.9991,0.9989
4,0.9994,0.9992
5,0.9996,0.9995
6,0.9996,0.9996
7,0.9996,0.9998
8,0.9996,0.9998
9,0.9995,0.9998
10,0.9994,0.9997
11,0.9994,0.9997
12,0.9992,0.9996
13,0.9994,0.9996
14,0.9992,0.9996
15,0.9992,0.9995
16,0.9993,0.9996
17,0.9988,0.9994
18,0.999,0.9994
19,0.9777,0.9988
20,0.9989,0.9994
21,0.9453,0.997
22,0.9986,0.9995
23,0.9364,0.9949
24,0.9985,0.9995
25,0.9345,0.9937
26,0.9982,0.9994
27,0.9314,0.9881
28,0.9978,0.9993
29,0.9311,0.985
30,0.9972,0.9984
