round,f1,auc
1,0.9988,0.9983
2,0.9992,0.9991
3,0.9993,0.9994
4,0.9994,0.9994
5,0.9994,0.9995
6,0.9995,0.9998
7,0.9995,0.9996
8,0.9995,0.9995
9,0.9996,0.9996
10,0.9996,0.9997
11,0.9996,0.9996
12,0.9997,0.9996
13,0.9996,0.9998
14,0.9997,0.9996
15,0.9997,0.9996
16,0.9997,0.9996
17,0.9997,0.9996
18,0.9997,0.9996
19,0.9997,0.9996
20,0.9997,0.9996
21,0.9997,0.9996
22,0.9997,0.9996
23,0.9997,0.9998
24,0.9997,0.9996
25,0.9997,0.9996
26,0.9997,0.9997
27,0.9997,0.9997
28,0.9997,0.9997
29,0.9997,0.9997
30,0.9997,0.9997
