round,f1,auc
1,0.9917,0.999
2,0.9988,0.9993
3,0.9985,0.9994
4,0.9986,0.9995
5,0.9986,0.9996
6,0.9982,0.9996
7,0.9985,0.9996
8,0.9982,0.9996
9,0.9987,0.9996
10,0.9982,0.9996
11,0.9986,0.9996
12,0.9987,0.9996
13,0.9987,0.9996
14,0.9986,0.9997
15,0.9987,0.9996
16,0.9987,0.9996
17,0.9987,0.9996
18,0.9983,0.9996
19,0.9986,0.9996
20,0.9985,0.9996
21,0.9984,0.9996
22,0.9987,0.9997
23,0.9986,0.9997
24,0.9987,0.9997
25,0.9986,0.9996
26,0.9987,0.9996
27,0.9987,0.9997
28,0.9986,0.9996
29,0.9983,0.9996
30,0.9987,0.9996
